Title,Output
travellers will enjoy a taste of chinese new year with qatar airways’ vibrant and celebratory on-board menu,0
qatar executive launches new website,0
qatar duty free and china unionpay international invite travellers to celebrate chinese new year with exclusive rewards,0
qatar airways and qatar duty free celebrate novak djokovic’s second consecutive win of the qatar 2017 atp world tour,0
qatar airways and qatar duty free celebrate the exxonmobil open men’s tennis 2017 tournament,0
etihad airways announces casablanca as new boeing 787 dreamliner destination,1
etihad airways introduces a range of comfort items and amenities for purchase on selected flights,0
etihad airways increases maldives frequency from daily to 11 flights a week in summer 2018,1
etihad airways swiss flights become all-boeing 787 dreamliner services,1
etihad airways showcases innovation to royalty at dubai airshow,0
etihad airways marks 10th anniversary of flights to nepal,0
etihad airways to suspend abu dhabi - dallas/fort worth route in 2018,1
etihad airways launches loungewear competition with emirati fashion designers,0
etihad airways to launch flights to azerbaijan,1
etihad airways improves timings on abu dhabi – medina route,1
etihad airways becomes first airline in region to offer automated credit card payment plans,0
fly now and pay later with etihad airways’ payment installment plans,0
etihad aviation group supports education for syrian children in jordan to celebrate year of giving,0
etihad airways and designer julien macdonald celebrate fashion at exclusive event in abu dhabi,0
etihad airways launches 'runway to runway' fashion film at new york fashion week,0
abu dhabi tops leading uk travel firm’s “most wanted” list for 2017,0
etihad airways increases frequency to egypt and nigeria,1
etihad airways introduces airbus a380 from abu dhabi to paris charles de gaulle,1
etihad airways increases middle east and north africa capacity to cater to growing summer demand,1
etihad airways aircraft operations rated as one of the cleanest and quietest by heathrow airport,0
"etihad airways offers free stopovers to all economy class guests from the middle east, africa & pakistan",1
etihad guest launches ramadan campaign in collaboration with emirates red crescent to support somalia in year of giving,0
etihad airways celebrates the delivery its 10th a380,0
etihad aviation group celebrates uae youth innovation at inaugural fikra awards,0
etihad airways to launch  a380 flights to paris,1
etihad airways and ellery celebrated 10-year milestones at mercedes-benz fashion week australia,0
etihad airways expands capacity to kerala marking 10th anniversary of flying to the southern indian state,0
etihad aviation group and emirates red crescent support group travelling for umrah as part of ‘year of giving’,0
model behaviour in abu dhabi as etihad airways launches 'runway to runway’ in the uae,0
etihad airways and strategic partner jet airways sign landmark tourism agreement with the state government of maharashtra,0
etihad airways launches 48 hour challenge to promote abu dhabi stopovers,0
etihad airways and emirates red crescent partnership launches new uae year of giving initiative,0
etihad airways reassures passengers of service and inflight offering following directive on us-bound flights,0
etihad airways and norland celebrate the graduation of the 2000th flying nanny,0
etihad airways to launch a380 flights to paris,1
etihad airways crowns darren hall winner of “taste the world” at taste of dubai,0
etihad airways secures iata certification for successful implementation of enhanced booking system,0
etihad airways to increase maldives frequency,1
"partnership strategy a core element of etihad growth, says group president and ceo",0
first commercial flammability test lab launched in the middle east,0
etihad expands madrid service to daily flights,1
etihad airways to increase dallas/fort worth service with daily flights beginning february 2017,1
animal welfare and conservation policy,0
etihad airways flies flag of excellence at world travel awards,0
etihad airways announces deployment of boeing 787 dreamliner on abu dhabi – riyadh route,1
etihad airways collaborates with leading fashion and skincare brands in first class ,0
"etihad airways and alitalia celebrate fashion, design and art at the milan fashion week",0
etihad airways to increase capacity to australia,1
etihad airways launches global sale with up to 50% off 45 popular destinations,1
etihad airways celebrates emirati women’s day,0
etihad airways brings its iconic suite the residence to bloomingdale’s – dubai,0
etihad airways medical centre collaborates with fatima college to sponsor emirati nurses,0
etihad airways celebrates four years in nigeria,0
etihad cargo launches luxury car service for summer 2016,0
abu dhabi global market and etihad airways become global strategic partners ,0
luxurious dreamliner flights to perth,1
etihad aviation group and partners boost financing platform strategy to us$1.2 billion,0
spirit of italy captured in new alitalia uniform collection launch by ettore bilotta,0
etihad airways celebrates airbus a380 debut in india,1
etihad airways’ flagship airbus a380 service to mumbai a sign of india’s importance to our growth strategy,1
mumbai reimagines luxury with etihad airways’ first airbus a380 service to india,1
etihad airways launches innovative mobile app,0
"partnership approach offers new model for airline competition, says eithad airways president and ceo",0
etihad airways awarded for best ife/connectivity launch by an airline 2016,0
national bank of abu dhabi becomes etihad airways’ middle east strategic partner,0
etihad airways increases weekly flights between south africa and united arab emirates,1
etihad holidays launches “abu dhabi: sunshine guaranteed or your next holiday for free” campaign,0
etihad airways supports great indian travel bazaar,0
abu dhabi - cairo flight frequency,1
etihad airways launches legal appeal to protect airberlin investment and ensure consumer choice,0
 etihad airways to introduce second a380 on the abu dhabi to london heathrow route,1
etihad airways celebrates arrival of inaugural alitalia flights from venice and milan,1
Partnership strategy a core element of Etihad growth,0
Etihad Airways presents an afternoon with Indian fashion couturier Manish Malhotra in Abu Dhabi,0
Etihad Airways introduces third daily flight to Riyadh,1
First commercial flammability test lab launched in the Middle East,0
Etihad Airways and Tanzania's Precision Air unveil codeshare agreement,0
Etihad Airways wins ‘World’s Leading Airline’ award for seventh consecutive year,0
Etihad Airways Engineering named MRO Service Provider of the Year,0
Etihad Airways invests in Adobe to power digital excellence,0
Etihad Airways to commence A380 services to Melbourne in June 2016,1
Alitalia aims for profitability by 2017 and speeds up its turnaround,0
Etihad Airways and partner airlines’ fundraising transaction increased to US$ 700 million,0
Etihad Airways and the Ministry of Environment and Water unite to combat illegal wildlife smuggling,0
Etihad Airways and Alitalia host official Chengdu Week at the Expo Milano joint pavilion,0
Italian trainees source new opportunities through Etihad Airways partnership,0
Etihad Airways selects Accenture to support business transformation program,0
Etihad Airways to introduce second A380 on the Abu Dhabi to London Heathrow route,1
Etihad Airways Celebrates Arrival of Inaugural Alitalia Flights from Venice And Milan,1
Etihad Airways takes Breast Cancer Awareness Campaign to Abu Dhabi International Airport,0
Etihad congratulates Nation’s Tri athletes,0
Etihad Airways' Emirati female engineers attend Global Women Aviation Conference,0
Emirates to Launch Third Daily Flight to Nairobi,1
Emirates introduces sustainable blankets made from 100% recycled plastic bottles,0
Emirates to Launch Daily Flights to Croatia,1
Emirates rounds off a year of growth with fleet and product milestones,0
Jet Airways launches innovative booking feature - 'Fare Lock',1
Jet Airways and Bangkok Airways enter into Frequent Flyer Partnership,1
Jet Airways announces special inaugural fares to new European gateway of Amsterdam,1
Jet Airways JetEscapes promotes India for guests from select Asian destinations this winter,1
Jet Airways to launch new daily flight from Delhi to Muscat,1
Jet Airways signs codeshare agreement with Korean Air,0
Jet Airways appoints Rahul Taneja as Chief People Officer,0
Jet Airways announces Global Sale with special fares for international travel,1
Jet Airways becomes largest Indian carrier to Bangkok,0
Jet Airways to offer most daily frequencies between Mumbai and Dubai,1
ICRA upgrades Jet Airways' ratings to investment grade,0
Jet Airways’ frequent flyer programme - JetPrivilege wins triple honours at the 9th Loyalty Awards 2016 in India,0
Jet Airways offers two free tickets daily under 'Luck-E-Ticket' offer,1
Jet Airways' JetEscapes offers tailor-made Valentine's Day getaway packages throughout February,0
Jet Airways declares highest ever quarterly profit of INR 467 crores in Q3 of FY16,0
Jet Airways to introduce new generation in-flight wireless streaming service,0
Jet Airways commences operations from Amsterdam,1
Chairman's message for the Brussels event,0
Jet Airways celebrates International Women's Day with flights operated by all-women crew,0
"Jet Airways to relocate domestic flight operations in Mumbai to Terminal 2 from March 15, 2016",1
Jet Airways and Etihad Airways unveil global fashion week sponsorship,0
Jet Airways' JetEscapes holidays attractive summer getaways,0
Jet Airways supports global initiative against wildlife trafficking,0
"Jet Airways group declares record annual profit of INR 1,212 crores for FY16; Reduces debt by INR 1,680 crores",0
"Jet Airways to offer Subway sandwiches, Krispy Kreme doughnuts onboard flights",0
Jet Airways doubles frequency to Dammam to twice daily from Mumbai and Delhi,1
ICICI Bank launches contactless Credit Card with Jet Airways for SMEs,0
Jet Airways to increase capacity on Mumbai-Singapore route by deploying a widebody Airbus A330 aircraft,1
Jet Airways and Eastern Bank Limited launch Bangladesh's first,1
"JetPrivilege wins the coveted ""210 Award"" at the prestigious 2016 Freddie Awards",0
Jet Airways conferred 'International Cargo Airline of the Year' at 4th GMR-IGI Airport Awards 2016,0
Jet Airways announces attractive return fares for travel from India to Europe,1
Jet Airways launches #JetAdvance,1
Jet Airways to expand connectivity to the Arabian Gulf region from Hyderabad and Mangaluru,1
IATA reappoints Jet Airways chairman Naresh Goyal to its board of governors,0
Jet Airways unveils #GetMore sale for domestic travel,0
Jet Airways announces sale to celebrate India's 69th Independence Day,0
Jet Airways' JetPrivilege achieves 5 million plus members milestone,0
Jet Airways and YouTooCanRun partner to promote running events across India,0
Jet Airways to offer tailor-made fare options under 'Fare Choices',1
Jet Airways to operate Boeing 777 aircraft between Mumbai - Dubai,1
Jet Airways to operate Boeing 777 aircraft on Mumbai - Singapore route to meet growing demand,1
Jet Airways introduces 'Priority Advantage' service for Economy guests,1
Jet Airways enhances 'Seat Select' feature,0
Jet Airways records fifth consecutive profitable quarter; posts Rs.126 cr net profit in Q1 of FY17,0
Jet Airways to increase capacity on Mumbai - Amsterdam route by deploying Boeing 777 aircraft,1
Jet Airways enhances connectivity to North America and Europe with new flight schedule to Paris,1
Jet Airways appoints Jayaraj Shanmugam as Chief Commercial Officer,0
Jet Airways to equip pilots on Boeing 737 fleet with iPads,0
Jet Airways' Onam feast on International flights between Kerala and the Gulf,1
Jet Airways introduces next-generation in-flight entertainment with wireless streaming service,0
"Delta, Virgin Atlantic and Jet Airways expand cooperation with India - United States codeshare via London Heathrow",0
Jet Airways expands India - UAE services,0
Jet Airways announces Diwali bonanza on domestic travel,1
Jet Airways upgrades key global routes with wide-body deployment,1
Jet Airways enhances connectivity to SAARC and the Gulf,1
Jet Airways enhances domestic connectivity with the introduction of widebody services,1
Jet Airways to connect Kozhikode and Sharjah with a new daily service,1
Jet Airways announces Dussehra bonanza on international and domestic travel,1
Jet Airways’ Chairman Mr. Naresh Goyal honoured as 'The Iconic Indian’ by BITB / ITB Berlin,0
Jet Airways celebrates festive season with attractive Economy fares for domestic travel,1
Jet Airways celebrate the holiday season with the end of year sale,0
Jet Airways provides convenient surface connectivity for international guests to / from Punjab via Delhi,1
Jet Airways offers exciting winter season fare sale,1
Jet Airways and Kenya Airways expand codeshare agreement,1
Jet Airways gives wings to kids’ Flight of Fantasy on the occasion of Children’s Day,1
Jet Airways posts INR 85 cr profit in Q2 of FY17,0
Jet Airways to launch direct daily services between Bengaluru and Singapore,1
Jet Airways introduces widebody services on additional domestic and international routes,1
Jet Airways adjudged 'Air-Cargo Airline of the Year' at the 'Logistics Asia Awards',0
JetPrivilege joins hands with SkyMiles of Delta Air Lines to offer enhanced value to members,0
Jet Airways to launch direct daily service between Bengaluru and Colombo,1
Enjoy the Dubai shopping festival 2017 with attractive package from Jet Airways' JetEscape,0
Jet Airways announces exciting 4 day Global Sale for domestic and international travel,0
JetPrivilege ties-up with HDFC Life to bring Group Term Insurance plan for its members,0
Jet Airways introduces First Class service on Delhi - Amsterdam route,1
Jet Airways designated as the official airline partner for the Vibrant Gujarat Summit 2015,0
Jet Airways introduces Zero Penalty Fee for online changes or cancellations within 24 hrs of booking on jetairways.com,1
Jet Airways and Etihad Airways to celebrate India’s Republic Day with attractive offers,1
Jet Airways to increase frequencies on high demand domestic sectors,1
Jet Airways Q3 Highlights,0
Jet Airways & Jetescapes offer attractive travel options this Valentine's day,0
Jet Airways announces special offer on its International network,1
Jet Airways unveils '#JetInstant' on Twitter,0
Jet Airways celebrates ‘International Women's Day’ with attractive holiday options for women travellers,0
Jet Airways enhances connectivity to Qatar,1
Jet Airways to launch dedicated freighter operations using wet-leased aircraft from strategic partner Etihad Airways,0
Jet Airways enhances international connectivity with expansion of codeshare with Etihad Airways,1
"Jet Airways to connect Ahmedabad, Mangalore and Pune with flights to Abu Dhabi and beyond",1
Jet Airways in codeshare partnership with airberlin,1
Etihad Airways and Jet Airways to sponsor Mumbai Indians for second consecutive IPL season,0
Statement regarding flight 9W 542 Mumbai to Dubai,1
Jet Airways enhances reach in ASEAN region with codeshare partners Garuda Indonesia and Vietnam Airlines,1
Jet Airways introduces ‘Chopard’ amenity kits for First Class and Première guests onboard select international flights,0
Jet Airways strengthens domestic network with 31 additional daily frequencies,1
Press statement regarding earthquake in Nepal and northern India,0
Jet Airways statement on Kathmandu operations,0
Jet Airways enhances connectivity between emerging cities,1
Jet Airways signs codeshare agreement with Bangkok Airways,1
Jet Airways and Air Seychelles unveil codeshare partnership,1
Jet Airways launches ‘FAST-TRACK’ - a premium cargo offering on the airline’s domestic network,1
Jet Airways awarded ‘International Cargo Airline of the Year’ at IGI Airport Awards 2015,0
Jet Airways felicitated at the Changi Airline Awards 2015,0
Jet Airways extends ‘Seat Select’ through travel agents,0
Jet Airways announces ‘The Million Sale’,0
Jet Airways records 60% improvement in operating performance in FY15,0
JetPrivilege enters into reciprocal frequent flyer arrangement with airberlin,0
Jet Airways Offers “The Great Première Experience” For Guests,0
JetPrivilege teams up with Vietnam Airlines for frequent flier partnership,1
Jet Airways’ JetPrivilege announces a frequent flyer agreement with Air Seychelles,1
JetPrivilege enters into a frequent flyer programme partnership with Air Serbia,1
"Jet Airways offers lounge facilities at London Heathrow for its First Class, Premiere, JetPrivilege Platinum & Gold members",0
Jet Airways unveils new website offering one-stop solution for travellers,0
Jet Airways to boost domestic connectivity with additional flights,1
Jet Airways announces attractive Première fares on domestic network,1
Jet Airways receives Humane Society International Award for action against shark fin shipments,0
Jet Airways introduces ‘Weekend Surprises’ on jetairways.com - attractive offers every weekend,0
Jet Airways reschedules it's Hong Kong to Delhi service with convenient day time arrival,1
Jet Airways posts INR 226.4cr profit in Q1 of FY16; records 188% improvement in performance,0
Jet Airways spreads happiness among children through ‘Flight of Fantasy’ initiative,1
Jet Airways extends 'edujetter' programme for students on codeshare flights with Etihad Airways,1
Jet Airways expands codeshare agreement with South African Airways,1
Jet Airways celebrates World Tourism Day with attractive JetEscapes Holidays,0
Jet Airways posts Rs. 83 cr profit in Q2 of FY16 second consecutive quarterly profit reflects ongoing progress in turnaround,0
Jet Airways announces to increase frequencies on domestic network for 2015 winter schedule,1
"Jet Airways introduces ""Seat Select"" option to reserve seats across domestic and select international flights",0
Jet Airways wins honours for technology innovation at International French Travel Market (IFTM) trade fair,0
Jet Airways announces global sale with attractive fares for international travel,0
JetEscapes offers great value packages for 'Dubai Shopping Festival 2016',0
Jet Airways to upgrade daily services between Delhi and Singapore,1
Jet Airways confirms order for 75 Boeing 737 Max aircraft,0
Jet Airways enhances retail experience for members in partnership with luxury brand 'Heel & Buckle' www.heelandbuckle.com,0
Jet Airways celebrates the festival spirit with attractive fares for international travel,1
"Jet Airways' offers 'Best Price Promise' on jetairways.com, Mobile site and Mobile App",0
"Jet Airways to launch daily flights to Amsterdam from Mumbai, Delhi and Toronto",1
Jet Airways first airline in India to launch APP for Apple Watch,0
Jet Airways and Actionaid India paertner to rehabilate communities affected by Tamil Nadu floods.,0
"Jet Airways to resume full domestic schedule to / from Chennai effective tomorrow - Dec 8, 2015",1
Press Statement - Flight operations to and from Chennai,1
Jet Airways first Indian airline to receive CAT II authorisation for ATR fleet,0
Jet Airways enhances flight connectivity to India with new daily service from Abu Dhabi to Chennai,1
Jet Airways to introduce new daily flight from Vadodara to Pune via Indore,1
Jet Airways (India) Limited announces resignation of CEO,0
Jet Airways launches daily direct service from Mumbai to Paris,1
"Jet Airways to connect Bengaluru and Hyderabad with direct daily flights to Abu Dhabi effective March 01, 2014",1
"Jet Group reports lower Loss before Tax of INR 2,839 Million for Q3 FY14 as against INR 9,984 Million in Q2 FY 14",0
Jet Airways JetPrivilege wins prestigious 7th loyalty awards 2014,0
Jet Airways introduces direct daily flight from Hyderabad to Abu Dhabi,1
Jet Airways celebrates ‘International Women's Day’ with special offers for women travellers,1
Jet Airways wins prestigious ICC Supply Chain and Logistics Excellence Awards 2014,0
Etihad Airways and Jet Airways sign sponsorship of Mumbai Indians cricket team,0
Jet Airways announces tough measures to secure long-term future,0
Jet Airways announces three key appointments,0
Jet Airways and Etihad Airways reinforce commitment to growth of India’s aviation industry and economy,0
Jet Airways and Etihad Airways celebrate strategic alliance with attractive introductory special fare offer,1
Fare Bonanza for Jet Airways & JetKonnect guests for economy travel on the airlines domestic network,1
Jet Airways operates additional flight to Leh in support of flood relief operations,1
Jet Airways announces 'The Great Premiere Experience',0
Jet Airways signs long-term training centre operations services with CAE,0
"Jet Airways Introduces Fifth Daily Service Between Mumbai and Dubai Effective October 14, 2014",1
Jet Airways announces competitive Economy class fares on the airlines' domestic network ex Bengaluru,1
"Jet Airways enhances global connectivity, links four additional Indian cities to the world",1
"Jet Airways announces enhanced connectivity to the Gulf with the launch of four international flights from Kochi, Kozhikode & Thiruvananthapuram",1
Jet Airways’ receives government approval for appointment of Cramer Ball as CEO,0
Jet Airways & Etihad Airways celebrate the festive season with attractive fares for travel on the airlines’ domestic & international networks,1
